Category,Summary,Languages,University,Link,HardWare
Artificial Intelligence,The propose project is  an application design for blind people to analyze video using deep learning algorithm and extract a textual information to describe videos to them,"Java,Kotlin",UMM ALQura ,https://drive.uqu.edu.sa/up/forms/cis/19197/343172/cwP8XuGFtr_1588828605_V71SGus4tz.pdf ,0
Artificial Intelligence,"Everyone has a unique voice, because of the different structure of their articulatory organs. Some people have similar voices due to biological similarity or someone is mimicking them. This similarity raises a security concern. Several studies tried to distinguish between similar voices of people using speaker recognition techniques. Speaker recognition not only models an individual’s voice but also their speaking habits. This project proposes  the use of automatic speaker recognition techniques in order to explore the similarity between siblings. This includes comparing the performance of several models, such as artificial neural networks (ANNs), Gaussian mixture model (GMM) and i-vector. ","Python,C_sharp,Cpp",UMM ALQura,https://drive.uqu.edu.sa/up/forms/cis/19197/343172/cwP8XuGFtr_1588964513_WJT0gxr322.pdf ,0
Computer Vision and Graphics,"There is a lack of applications in Arabic that serve specific groups such as children with autism. Autism includes impairments in social interaction and developmental language and communication skills combined with rigid and repetitive behaviors. The studies indicate that the children are positively influenced by applications by showing better verbal interaction and the physical activity are increased at activities when using applications. This project aims to facilitate some of the difficulties faced by children with ASD by using technology. But what are the most important difficulties that need technology support and which technology is most effective with children with ASD? Through our searches, visits and interviews with ASD centers we came to that most children with ASD face challenges in most self-care skills, such as teeth brushing, eating, bathing, and others. Also, one of the suggestions from the therapists is to use AR technology and how it facilitates children's learning as they are attracted to the notable things like 3D objects and interact with them in a positive way. The results of this project will be an application which support children with ASD in learning number of self-care skills and prepare them to realize these skills and their tools faster and in loveable approach through the use of AR technology in Arabic language.","C_sharp,Cpp,Python,Java",UMM ALQura,https://drive.uqu.edu.sa/up/forms/cis/19197/343172/cwP8XuGFtr_1588791353_j8v548Z476.pdf ,0
Mobile Application,"Because education is one of the pillars of building societies by the extent of its care and development, society makes a strong building for itself to improve the teaching and learning process. Education has invested this progress in a parallel manner in its means, where these technologies have emerged within the classroom and between the corridors of the school. Given the importance of the educational field, so this project propose an application which   is designed especially for the primary schools. It facilitate the communication between parents and the school to help their children in improving their academic and behavioral level. The application aims to avoid complexity in existing applications, characterized the easy learning by using . parents also book an appointment with the child's teacher and send complaints and suggestions to the school .","HTML,JavaScript,CSS",UMM ALQura,https://drive.uqu.edu.sa/_/cis/files/GraduationProjects/UQU-CS-2019F-08.pdf ,0
Artificial Intelligence,"The project is to  build Application able to send notifications about student state, either inside or outside bus/school to avoid child suffocation in bus ,to make parents less worry about their children safety.","Java,Kotlin",UMM ALQura,https://drive.uqu.edu.sa/_/cis/files/GraduationProjects/UQU-CS-2019F-10.pdf ,1
Software Engineering,"Dental students face a problem, which is the lack of enough cases to cover and train in, according to the educational plan for dental students. There are 26 hours Lab per term in which students cover specific cases, but there is a problem which is the lack of cases due to the lack of volunteer patients. In this project , we provide a web-based application used for Management System which aims to save the time of all teaching hospital members and to provide a way to manage and control Electronic Medical Patient Record . There are services provided to solve the problem of communication between students and volunteer patients, by useing a scheduling process to coordinate the patient’s condition and the student’s level based on a student’s available time The provided services includes follow-up of patients' files, Schedule their appointments, dealing students' work on different cases, allow them to enter their available time into the system for scheduling patients' appointments according to that, enable doctors to evaluate the student work, as well enable the patient to cancel any one of his appointments, possibility of communication between doctors and receptionist . ","HTML,JavaScript,CSS,PHP",UMM ALQura,https://drive.uqu.edu.sa/up/forms/cis/19197/343172/cwP8XuGFtr_1588872073_RkoccJ0dNg.pdf ,0
Software Engineering,The project demonstrates an application to provide the least possible response time in emergency reporting of patients by linking the patients with the clinic on campus. The SOS application on the android phone sends an SOS alert triggered by the patient himself if conscious or by a passerby. It will contain the indoor location measured by barometer sensor and medical information that both will be retrieve from the database to the clinic to get the patient’s location and medical information to provide appropriate treatment.,"Cpp,Java,Kotlin",UMM ALQura,https://drive.uqu.edu.sa/_/cis/files/GraduationProjects/UQU-CS-2019F-12.pdf ,1
Computer Vision and Graphics,"Most children nowadays, spend large portion of their time on mobile devices. Although, children use different applications on the mobile a majority of time is spent on playing games. Games are used in entertainment and brain stimulation, there are also very supportive in education and can be used in supporting the learning disabilities. Dyslexia is one of the most common learning disabilities that causes a problem in reading and writing affecting nearly 15% of the people globally. Studies shows that dyslexics have a different way of learning and the capabilities increase. Many games on the market teach dyslexic children reading and writing or for entertainment such as chess for dyslexics. However, there is no game which teaches and allows them to acknowledge the most suitable learning methodologies which unlock dyslexia power. This project will provide a methodologies that are developed in the form of supporting tools/Learning aids appearing in the game with characteristics based on the skill needed for every stage. At the end for every stage the result will be calculated based on time and accuracy and displayed with the most appropriate supporting tool using to succeed at the different levels. The novelty of the project  idea is to create a game which helps dyslexic children to learn how to learn and use the best learning support tools to unlock their learning potential.",C_sharp,UMM ALQura,https://drive.uqu.edu.sa/_/cis/files/GraduationProjects/UQU-CS-2019F-13.pdf ,0
Software Engineering ,"The project propose an  application depends on the technology used to automatically measure blood glucose on diabetics and consists of an application and an external device that includes a camera, and there is a bracelet that helps caregivers who suffer from hearing and speech impairment by vibrating notification, and also analyzes the measurements of glucose and sends it to the email.","Java,Kotlin",UMM ALQura,https://drive.uqu.edu.sa/up/forms/cis/19197/343172/cwP8XuGFtr_1588897231_bfO5NVmqyj.pdf ,1
Mobile Application,"Nowadays, communication between students is vital to facilitate the possibility to benefit from each other and to spread the benefit among all students The idea of this project is  an application that allows many services for students, including explaining the courses, lost and found service so they find their things easily, the service of borrowing books, requesting help for people with special needs, communicate with each other and Intelligent autoresponder to respond to inquiries.","Java,Kotlin",UMM ALQura,https://drive.uqu.edu.sa/_/cis/files/GraduationProjects/UQU-CS-2019F-16.pdf ,0
